source_excel_row,field,original_value,replacement,reason
7687,large_bus,-,0,user_rule_missing_or_dash_is_zero
7794,large_bus,-,0,user_rule_missing_or_dash_is_zero
7806,large_bus,-,0,user_rule_missing_or_dash_is_zero
7818,large_bus,-,0,user_rule_missing_or_dash_is_zero
7835,large_bus,-,0,user_rule_missing_or_dash_is_zero
7838,large_bus,-,0,user_rule_missing_or_dash_is_zero
7841,large_bus,-,0,user_rule_missing_or_dash_is_zero
7868,large_bus,-,0,user_rule_missing_or_dash_is_zero
7882,large_bus,-,0,user_rule_missing_or_dash_is_zero
7885,large_bus,-,0,user_rule_missing_or_dash_is_zero
7888,large_bus,-,0,user_rule_missing_or_dash_is_zero
7995,large_bus,-,0,user_rule_missing_or_dash_is_zero
8008,large_bus,-,0,user_rule_missing_or_dash_is_zero
8018,large_bus,-,0,user_rule_missing_or_dash_is_zero
8022,large_bus,-,0,user_rule_missing_or_dash_is_zero
8032,large_bus,-,0,user_rule_missing_or_dash_is_zero
8037,large_bus,-,0,user_rule_missing_or_dash_is_zero
8047,large_bus,-,0,user_rule_missing_or_dash_is_zero
8052,large_bus,-,0,user_rule_missing_or_dash_is_zero
8062,large_bus,-,0,user_rule_missing_or_dash_is_zero
8079,large_bus,-,0,user_rule_missing_or_dash_is_zero
8080,large_bus,-,0,user_rule_missing_or_dash_is_zero
8082,large_bus,-,0,user_rule_missing_or_dash_is_zero
8083,large_bus,-,0,user_rule_missing_or_dash_is_zero
8085,large_bus,-,0,user_rule_missing_or_dash_is_zero
8086,large_bus,-,0,user_rule_missing_or_dash_is_zero
8239,large_bus,-,0,user_rule_missing_or_dash_is_zero
8241,large_bus,-,0,user_rule_missing_or_dash_is_zero
8243,large_bus,-,0,user_rule_missing_or_dash_is_zero
8388,large_bus,-,0,user_rule_missing_or_dash_is_zero
8389,large_bus,-,0,user_rule_missing_or_dash_is_zero
8390,large_bus,-,0,user_rule_missing_or_dash_is_zero
8397,large_bus,-,0,user_rule_missing_or_dash_is_zero
8398,large_bus,-,0,user_rule_missing_or_dash_is_zero
8399,large_bus,-,0,user_rule_missing_or_dash_is_zero
8430,large_bus,-,0,user_rule_missing_or_dash_is_zero
8433,large_bus,-,0,user_rule_missing_or_dash_is_zero
8442,large_bus,-,0,user_rule_missing_or_dash_is_zero
8443,large_bus,-,0,user_rule_missing_or_dash_is_zero
8444,large_bus,-,0,user_rule_missing_or_dash_is_zero
8448,large_bus,-,0,user_rule_missing_or_dash_is_zero
8449,large_bus,-,0,user_rule_missing_or_dash_is_zero
8450,large_bus,-,0,user_rule_missing_or_dash_is_zero
8493,large_bus,-,0,user_rule_missing_or_dash_is_zero
8496,large_bus,-,0,user_rule_missing_or_dash_is_zero
8505,large_bus,-,0,user_rule_missing_or_dash_is_zero
8506,large_bus,-,0,user_rule_missing_or_dash_is_zero
8507,large_bus,-,0,user_rule_missing_or_dash_is_zero
8508,large_bus,-,0,user_rule_missing_or_dash_is_zero
8509,large_bus,-,0,user_rule_missing_or_dash_is_zero
8510,large_bus,-,0,user_rule_missing_or_dash_is_zero
8520,large_bus,-,0,user_rule_missing_or_dash_is_zero
8523,large_bus,-,0,user_rule_missing_or_dash_is_zero
8524,large_bus,-,0,user_rule_missing_or_dash_is_zero
8532,large_bus,-,0,user_rule_missing_or_dash_is_zero
8534,large_bus,-,0,user_rule_missing_or_dash_is_zero
8535,large_bus,-,0,user_rule_missing_or_dash_is_zero
8538,large_bus,-,0,user_rule_missing_or_dash_is_zero
8539,large_bus,-,0,user_rule_missing_or_dash_is_zero
8540,large_bus,-,0,user_rule_missing_or_dash_is_zero
