intersection_key,road_key,time_key,actual_month,Before,After_year,paired_index,report_year
เทอดดำริ,เทอดดำริ,07:00-09:00,3,1383.0,1053.0,76.13882863340564,2022
เทอดดำริ,เทอดดำริ,09:00-16:00,3,1097.428571428571,694.5714285714286,63.29080968497789,2022
เทอดดำริ,เทอดดำริ,16:00-19:00,3,1368.3333333333333,811.3333333333334,59.293544457978086,2022
การเรือน,ราชวิถี,07:00-09:00,3,1110.0,999.0,90.0,2023
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม,07:00-09:00,2,6863.5,7135.0,103.95570772929264,2023
ประเสริฐมนูกิจ - ประดิษฐ์มนูธรรม,ประเสริฐมนูกิจ,07:00-09:00,2,7078.5,6734.0,95.13314967860423,2023
พระราม 9,พระราม 9,07:00-09:00,2,2216.5,2292.5,103.42882923528084,2023
พระราม 9,รัชดาภิเษก,07:00-09:00,2,3576.0,3860.0,107.94183445190157,2023
พระราม 9,อโศกดินแดง,07:00-09:00,2,2584.0,2876.0,111.30030959752321,2023
พัฒนาการ,พัฒนาการ,07:00-09:00,4,3219.0,3707.5,115.17552034793414,2023
พัฒนาการ,ศรีนครินทร์,07:00-09:00,4,4027.0,5039.5,125.14278619319592,2023
มัยลาภ,รามอินทรา,07:00-09:00,7,5479.0,5430.0,99.10567621828801,2023
ราชประสงค์,เพลินจิต,07:00-09:00,5,2300.0,1972.5,85.76086956521739,2023
วังหิน,สุขาภิบาล 1,07:00-09:00,7,804.5,838.0,104.16407706650092,2023
วังหิน,เสนานิคม,07:00-09:00,7,1205.0,1065.0,88.38174273858921,2023
สะพานดำ,กำแพงเพชร,07:00-09:00,10,1039.0,1056.0,101.6361886429259,2023
สะพานดำ,กำแพงเพชร 5,07:00-09:00,10,2.5,0.5,20.0,2023
สะพานดำ,พระรามที่ 6,07:00-09:00,10,2088.5,1751.5,83.86401723725162,2023
สามยอด,มหาไชย,07:00-09:00,1,3275.0,2694.5,82.27480916030534,2023
สามยอด,เจริญกรุง,07:00-09:00,1,1190.0,1465.5,123.15126050420169,2023
สายน้ำผึ้ง,สุขุมวิท,07:00-09:00,6,2195.5,2483.5,113.1177408335231,2023
ห้วยขวาง,ประชาราษฎร์บำเพ็ญ,07:00-09:00,3,947.0,1066.0,112.56599788806759,2023
ห้วยขวาง,ประชาสงเคราะห์,07:00-09:00,3,422.5,482.0,114.0828402366864,2023
ห้วยขวาง,รัชดาภิเษก,07:00-09:00,3,6732.5,6432.5,95.54400297066469,2023
อรุณอัมรินทร์,สมเด็จพระปิ่นเกล้า,07:00-09:00,7,7994.0,10784.5,134.90743057292968,2023
อรุณอัมรินทร์,อรุณอัมรินทร์,07:00-09:00,7,3494.5,4069.0,116.44012018886822,2023
อังรีดูนังต์,พระรามที่ 4,07:00-09:00,11,4304.0,4393.0,102.067843866171,2023
อังรีดูนังต์,สุรวงศ์,07:00-09:00,11,704.5,703.0,99.78708303761533,2023
อังรีดูนังต์,อังรีดูนังต์,07:00-09:00,11,1230.0,1386.0,112.68292682926828,2023
