source_excel_row,id,survey_date,Date,month,year,covid_period,intersection,road,period,time_period,passenger_car,pickup_van,large_bus,small_bus,truck,tuk_tuk,Unnamed: 16,Unnamed: 17,source_sha256,source_sheet,intersection_key,road_key,report_day,report_month,report_year,report_date,survey_date_parsed,survey_month,survey_year,report_quarter,start_time,end_time,period_hours,time_key,passenger_car_clean,passenger_car_zero_assumed,pickup_van_clean,pickup_van_zero_assumed,large_bus_clean,large_bus_zero_assumed,small_bus_clean,small_bus_zero_assumed,truck_clean,truck_zero_assumed,tuk_tuk_clean,tuk_tuk_zero_assumed,has_assumed_zero,numeric_unresolved,numeric_negative,numeric_fractional,exact_repeat,repeated_survey_key,repeated_report_key,candidate_eligible,vehicle_total,vehicles_per_hour
136,135,28/3/2017,28,3,2017,ก่อนโควิด,สุทธิสาร,รัชดาภิเษก,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),12080,3361,167,2,17,15,0,รัชดาภิเษก,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุทธิสาร,รัชดาภิเษก,28,3,2017,2017-03-28,2017-03-28,3,2017,1,16:00,19:00,3.0,16:00-19:00,12080.0,False,3361.0,False,167.0,False,2,False,17,False,15,False,False,False,False,False,False,False,False,True,15642.0,5214.0
137,136,28/3/2017,28,3,2017,ก่อนโควิด,สุทธิสาร,สุทธิสารวินิจฉัย,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),2738,538,0,0,5,7,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุทธิสาร,สุทธิสารวินิจฉัย,28,3,2017,2017-03-28,2017-03-28,3,2017,1,07:00,09:00,2.0,07:00-09:00,2738.0,False,538.0,False,0.0,False,0,False,5,False,7,False,False,False,False,False,False,False,False,True,3288.0,1644.0
138,137,28/3/2017,28,3,2017,ก่อนโควิด,สุทธิสาร,สุทธิสารวินิจฉัย,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),6119,2205,0,0,66,43,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุทธิสาร,สุทธิสารวินิจฉัย,28,3,2017,2017-03-28,2017-03-28,3,2017,1,09:00,16:00,7.0,09:00-16:00,6119.0,False,2205.0,False,0.0,False,0,False,66,False,43,False,False,False,False,False,False,False,False,True,8433.0,1204.7142857142858
139,138,28/3/2017,28,3,2017,ก่อนโควิด,สุทธิสาร,สุทธิสารวินิจฉัย,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),2512,645,0,1,8,8,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุทธิสาร,สุทธิสารวินิจฉัย,28,3,2017,2017-03-28,2017-03-28,3,2017,1,16:00,19:00,3.0,16:00-19:00,2512.0,False,645.0,False,0.0,False,1,False,8,False,8,False,False,False,False,False,False,False,False,True,3174.0,1058.0
146,145,30/3/2017,30,3,2017,ก่อนโควิด,ประชานิเวศน์,ประชาชื่น,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),3099,459,28,0,16,11,0,ประชาชื่น,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ประชานิเวศน์,ประชาชื่น,30,3,2017,2017-03-30,2017-03-30,3,2017,1,07:00,09:00,2.0,07:00-09:00,3099.0,False,459.0,False,28.0,False,0,False,16,False,11,False,False,False,False,False,False,False,False,True,3613.0,1806.5
149,148,30/3/2017,30,3,2017,ก่อนโควิด,ประชานิเวศน์,เทศบาลสงเคราะห์,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),1122,236,4,0,3,1,0,เทศบาลสงเคราะห์,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ประชานิเวศน์,เทศบาลสงเคราะห์,30,3,2017,2017-03-30,2017-03-30,3,2017,1,07:00,09:00,2.0,07:00-09:00,1122.0,False,236.0,False,4.0,False,0,False,3,False,1,False,False,False,False,False,False,False,False,True,1366.0,683.0
164,163,3/4/2017,3,4,2017,ก่อนโควิด,ถนนตก,เจริญกรุง,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),1798,659,71,62,18,13,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ถนนตก,เจริญกรุง,3,4,2017,2017-04-03,2017-04-03,4,2017,2,07:00,09:00,2.0,07:00-09:00,1798.0,False,659.0,False,71.0,False,62,False,18,False,13,False,False,False,False,False,False,False,False,True,2621.0,1310.5
167,166,3/4/2017,3,4,2017,ก่อนโควิด,ถนนตก,พระรามที่ 3,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),5854,1661,103,22,63,121,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ถนนตก,พระรามที่ 3,3,4,2017,2017-04-03,2017-04-03,4,2017,2,07:00,09:00,2.0,07:00-09:00,5854.0,False,1661.0,False,103.0,False,22,False,63,False,121,False,False,False,False,False,False,False,False,True,7824.0,3912.0
203,202,18/4/2017,18,4,2017,ก่อนโควิด,สวนรื่นฤดี,สุโขทัย,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),2987,698,19,24,14,12,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สวนรื่นฤดี,สุโขทัย,18,4,2017,2017-04-18,2017-04-18,4,2017,2,07:00,09:00,2.0,07:00-09:00,2987.0,False,698.0,False,19.0,False,24,False,14,False,12,False,False,False,False,False,False,False,False,True,3754.0,1877.0
215,214,20/4/2017,20,4,2017,ก่อนโควิด,พัฒนาการ,ศรีนครินทร์,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),7497,2908,123,4,133,10,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,พัฒนาการ,ศรีนครินทร์,20,4,2017,2017-04-20,2017-04-20,4,2017,2,07:00,09:00,2.0,07:00-09:00,7497.0,False,2908.0,False,123.0,False,4,False,133,False,10,False,False,False,False,False,False,False,False,True,10675.0,5337.5
218,217,20/4/2017,20,4,2017,ก่อนโควิด,พัฒนาการ,พัฒนาการ,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),4604,1621,79,10,59,10,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,พัฒนาการ,พัฒนาการ,20,4,2017,2017-04-20,2017-04-20,4,2017,2,07:00,09:00,2.0,07:00-09:00,4604.0,False,1621.0,False,79.0,False,10,False,59,False,10,False,False,False,False,False,False,False,False,True,6383.0,3191.5
221,220,21/4/2017,21,4,2017,ก่อนโควิด,วัดประชา,พระรามที่ 5,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),2692,709,37,0,33,45,0,พระรามที่ 5,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,วัดประชา,พระรามที่ 5,21,4,2017,2017-04-21,2017-04-21,4,2017,2,07:00,09:00,2.0,07:00-09:00,2692.0,False,709.0,False,37.0,False,0,False,33,False,45,False,False,False,False,False,False,False,False,True,3516.0,1758.0
230,229,24/4/2017,24,4,2017,ก่อนโควิด,คลองตัน,สุขุมวิท 71,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),1717,564,43,9,16,120,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,คลองตัน,สุขุมวิท 71,24,4,2017,2017-04-24,2017-04-24,4,2017,2,07:00,09:00,2.0,07:00-09:00,1717.0,False,564.0,False,43.0,False,9,False,16,False,120,False,False,False,False,False,False,False,False,True,2469.0,1234.5
233,232,24/4/2017,24,4,2017,ก่อนโควิด,คลองตัน,รามคำแหง,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),3274,1014,95,28,18,12,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,คลองตัน,รามคำแหง,24,4,2017,2017-04-24,2017-04-24,4,2017,2,07:00,09:00,2.0,07:00-09:00,3274.0,False,1014.0,False,95.0,False,28,False,18,False,12,False,False,False,False,False,False,False,False,True,4441.0,2220.5
