source_excel_row,covid_period,intersection,road,report_year,report_month,report_day,survey_date_parsed,time_key,has_assumed_zero
6520,โควิด,ลาดปลาเค้า,ลาดปลาเค้า,2021,2,24,2021-02-24,09:00-16:00,False
6521,โควิด,ลาดปลาเค้า,รามอินทรา,2021,2,24,2021-02-24,09:00-16:00,False
6522,โควิด,ใต้ด่วนพระราม4,เชื้อเพลิง,2021,2,25,2021-02-25,07:00-09:00,False
6523,โควิด,ใต้ด่วนพระราม4,ทางด่วน,2021,2,25,2021-02-25,07:00-09:00,False
6524,โควิด,ใต้ด่วนพระราม4,พระรามที่4,2021,2,25,2021-02-25,07:00-09:00,False
6525,โควิด,ใต้ด่วนพระราม4,เชื้อเพลิง,2021,2,25,2021-02-25,16:00-19:00,False
6526,โควิด,ใต้ด่วนพระราม4,ทางด่วน,2021,2,25,2021-02-25,16:00-19:00,False
6527,โควิด,ใต้ด่วนพระราม4,พระรามที่4,2021,2,25,2021-02-25,16:00-19:00,False
6528,โควิด,ใต้ด่วนพระราม4,เชื้อเพลิง,2021,2,25,2021-02-25,09:00-16:00,False
6529,โควิด,ใต้ด่วนพระราม4,ทางด่วน,2021,2,25,2021-02-25,09:00-16:00,False
6530,โควิด,ใต้ด่วนพระราม4,พระรามที่4,2021,2,25,2021-02-25,09:00-16:00,False
6537,โควิด,ดาวคะนอง,สมเด็จพระเจ้าตากสิน,2021,3,2,2021-03-02,07:00-09:00,False
6538,โควิด,ดาวคะนอง,จอมทอง,2021,3,2,2021-03-02,07:00-09:00,False
6539,โควิด,ดาวคะนอง,สมเด็จพระเจ้าตากสิน,2021,3,2,2021-03-02,16:00-19:00,False
6540,โควิด,ดาวคะนอง,จอมทอง,2021,3,2,2021-03-02,16:00-19:00,False
6541,โควิด,ดาวคะนอง,สมเด็จพระเจ้าตากสิน,2021,3,2,2021-03-02,09:00-16:00,False
6542,โควิด,ดาวคะนอง,จอมทอง,2021,3,2,2021-03-02,09:00-16:00,False
6543,โควิด,กำแพงเพชร,พหลโยธิน,2021,3,3,2021-03-03,07:00-09:00,False
6546,โควิด,กำแพงเพชร,พหลโยธิน,2021,3,3,2021-03-03,16:00-19:00,False
6549,โควิด,กำแพงเพชร,พหลโยธิน,2021,3,3,2021-03-03,09:00-16:00,False
6552,โควิด,บางยี่เรือ,เทอดไท,2021,3,4,2021-03-04,07:00-09:00,False
6553,โควิด,บางยี่เรือ,เพชรเกษม,2021,3,4,2021-03-04,07:00-09:00,False
6554,โควิด,บางยี่เรือ,อินทรพิทักษ์,2021,3,4,2021-03-04,07:00-09:00,False
6555,โควิด,บางยี่เรือ,เทอดไท,2021,3,4,2021-03-04,16:00-19:00,False
6556,โควิด,บางยี่เรือ,เพชรเกษม,2021,3,4,2021-03-04,16:00-19:00,False
6557,โควิด,บางยี่เรือ,อินทรพิทักษ์,2021,3,4,2021-03-04,16:00-19:00,False
6558,โควิด,บางยี่เรือ,เทอดไท,2021,3,4,2021-03-04,09:00-16:00,False
6559,โควิด,บางยี่เรือ,เพชรเกษม,2021,3,4,2021-03-04,09:00-16:00,False
6560,โควิด,บางยี่เรือ,อินทรพิทักษ์,2021,3,4,2021-03-04,09:00-16:00,False
6561,โควิด,สุโขทัย,พระรามที่5,2021,3,5,2021-03-05,07:00-09:00,False
6562,โควิด,สุโขทัย,สุโขทัย,2021,3,5,2021-03-05,07:00-09:00,False
6563,โควิด,สุโขทัย,พระรามที่5,2021,3,5,2021-03-05,16:00-19:00,False
6564,โควิด,สุโขทัย,สุโขทัย,2021,3,5,2021-03-05,16:00-19:00,False
6565,โควิด,สุโขทัย,พระรามที่5,2021,3,5,2021-03-05,09:00-16:00,False
6566,โควิด,สุโขทัย,สุโขทัย,2021,3,5,2021-03-05,09:00-16:00,False
6567,โควิด,เทวกรรม,นครสวรรค์,2021,3,8,2021-03-08,07:00-09:00,False
6568,โควิด,เทวกรรม,กรุงเกษม,2021,3,8,2021-03-08,07:00-09:00,False
6585,โควิด,ประเสริฐมนูกิจ-สุคนธสวัสดิ์,สุคนธสวัสดิ์,2021,3,11,2021-03-11,07:00-09:00,False
6648,โควิด,ประเสริฐมนูกิจ-ประดิษฐ์มนูธรรม,ประดิษฐ์มนูธรรม,2021,3,22,2021-03-22,07:00-09:00,False
6649,โควิด,ประเสริฐมนูกิจ-ประดิษฐ์มนูธรรม,ประเสริฐมนูกิจ,2021,3,22,2021-03-22,07:00-09:00,False
6654,โควิด,เพลินจิต,วิทยุ,2021,3,23,2021-03-23,07:00-09:00,False
6655,โควิด,เพลินจิต,เพลินจิต,2021,3,23,2021-03-23,07:00-09:00,False
6672,โควิด,เศรษฐศิริ,เศรษฐศิริ,2021,3,25,2021-03-25,07:00-09:00,False
6673,โควิด,เศรษฐศิริ,เทอดดำริ,2021,3,25,2021-03-25,07:00-09:00,False
6678,โควิด,โรงพยาบาลกลาง,เสือป่า,2021,3,26,2021-03-26,07:00-09:00,False
6680,โควิด,โรงพยาบาลกลาง,หลวง,2021,3,26,2021-03-26,07:00-09:00,False
6726,โควิด,สาธุ-จันทน์,สาธุประดิษฐ์,2021,4,5,2021-04-05,07:00-09:00,False
6727,โควิด,สาธุ-จันทน์,จันทน์,2021,4,5,2021-04-05,07:00-09:00,False
6732,โควิด,อุณากรรณ,อุณากรรณ,2021,4,7,2021-04-07,07:00-09:00,False
6733,โควิด,อุณากรรณ,เจริญกรุง,2021,4,7,2021-04-07,07:00-09:00,False
6739,โควิด,พุทธมณฑลสาย2,พุทธมณฑลสาย2,2021,4,8,2021-04-08,07:00-09:00,False
6740,โควิด,พุทธมณฑลสาย2,เพชรเกษม,2021,4,8,2021-04-08,07:00-09:00,False
6742,โควิด,พุทธมณฑลสาย2,พุทธมณฑลสาย2,2021,4,8,2021-04-08,16:00-19:00,False
6743,โควิด,พุทธมณฑลสาย2,เพชรเกษม,2021,4,8,2021-04-08,16:00-19:00,False
6745,โควิด,พุทธมณฑลสาย2,พุทธมณฑลสาย2,2021,4,8,2021-04-08,09:00-16:00,False
6746,โควิด,พุทธมณฑลสาย2,เพชรเกษม,2021,4,8,2021-04-08,09:00-16:00,False
6747,โควิด,พัฒนาการ,ศรีนครินทร์,2021,4,9,2021-04-09,07:00-09:00,False
6748,โควิด,พัฒนาการ,พัฒนาการ,2021,4,9,2021-04-09,07:00-09:00,False
6753,โควิด,ประชาสงเคราะห์,ประชาสงเคราะห์,2021,4,16,2021-04-16,07:00-09:00,False
6754,โควิด,ประชาสงเคราะห์,ดินแดง,2021,4,16,2021-04-16,07:00-09:00,False
6759,โควิด,ด่วนเพลินจิต,ดวงพิทักษ์,2021,4,19,2021-04-19,07:00-09:00,False
6760,โควิด,ด่วนเพลินจิต,ทางขึ้นลงทางด่วน,2021,4,19,2021-04-19,07:00-09:00,False
6761,โควิด,ด่วนเพลินจิต,เพลินจิต,2021,4,19,2021-04-19,07:00-09:00,False
6762,โควิด,ด่วนเพลินจิต,สุขุมวิท,2021,4,19,2021-04-19,07:00-09:00,False
6771,โควิด,วิสุทธิกษัตริย์,ประชาธิปไตย,2021,4,20,2021-04-20,07:00-09:00,False
6772,โควิด,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,2021,4,20,2021-04-20,07:00-09:00,False
6785,โควิด,นาหลวง,พุทธบูชา,2021,4,22,2021-04-22,07:00-09:00,False
6801,โควิด,ประชานิเวศน์,ประชาชื่น,2021,4,26,2021-04-26,07:00-09:00,False
