intersection_key,road_key,During,After
สาทร - เจริญกรุง,สาทร,29.33993396898481,56.15181067459491
สาทร - เจริญกรุง,เจริญกรุง,18.8833954510407,22.994068327410957
สามยอด,มหาไชย,19.15405146688937,15.408409156398207
สามยอด,เจริญกรุง,29.458868420059005,1.748385824624421
สามเหลี่ยมดินแดง,ดินแดง,30.519226879128695,-6.126441881277259
สามเหลี่ยมดินแดง,ราชปรารภ,-2.666101654580757,3.419280317724187
สามเหลี่ยมดินแดง,ราชวิถี,13.401829807840215,31.31491238666952
สี่กั๊กเสาชิงช้า,ตะนาว,-15.766465343687074,-96.17486338797814
สี่กั๊กเสาชิงช้า,เฟื่องนคร,34.16508818670317,19.83257596340931
สุทธิสาร,รัชดาภิเษก,2.2392921649420856,6.017118144139701
สุทธิสาร,สุทธิสารวินิจฉัย,21.255970737044507,6.279150130570855
สุโขทัย,สุโขทัย,-7.168284965343176,-15.644668524484644
หทัยราษฎร์ - เลียบคลองสอง,หทัยราษฎร์,14.294522458265817,-3.5619016853915753
หทัยราษฎร์ - เลียบคลองสอง,เลียบคลองสอง,8.834109351753042,3.936687654674941
หมู่บ้านเศรษฐกิจ,เพชรเกษม,13.282501293620811,-0.38998774655840407
ห้วยขวาง,ประชาราษฎร์บำเพ็ญ,41.30293847973468,-5.912953374939917
ห้วยขวาง,ประชาสงเคราะห์,-8.201808161526827,61.03795091593405
ห้วยขวาง,รัชดาภิเษก,13.114074176736175,-3.7695268616057263
อังรีดูนังต์,สุรวงศ์,-39.53670703804576,1.219244260081524
อังรีดูนังต์,อังรีดูนังต์,-6.068176727148156,33.196953525450965
อโศกเพชร,อโศก,-26.586224776786125,-16.220884972250573
อโศกเพชร,เพชรบุรี,-43.808736261521,-26.659181861472035
เกษมราษฎร์,พระรามที่ 4,7.615131603412706,11.6634660763619
เกษมราษฎร์,เกษมราษฎร์,-67.94346383719088,-100.78838575637552
เกษะโกมล,พระรามที่ 5,-11.978342373273207,-19.90271999184447
เกษะโกมล,อำนวยสงคราม,-19.39757233404856,1.078815735513416
เกษะโกมล,เศรษฐศิริ,33.85824418813122,22.628150487376026
เจริญราษฎร์,เจริญราษฎร์,-1.1869541590619264,5.345873568603295
เจ้าคุณทหาร - ฉลองกรุง,ฉลองกรุง,-43.69985983611963,-15.745339893716235
เจ้าคุณทหาร - ฉลองกรุง,เจ้าคุณทหาร,49.28922420549729,50.021559313100745
เฉลิมกรุง,เจริญกรุง,-0.7575945451495372,13.150589918764737
เฉลิมเผ่า,อังรีดูนังต์,14.214832950341787,-21.10482372808241
เดโช,สีลม,1.0556156806156878,0.5015632515632689
เดโช,เดโช,-9.444756055379486,16.458853334081198
เทอดดำริ,ประดิพัทธ์,25.274926251331152,28.185006320643254
เทอดดำริ,เทอดดำริ,-27.36198998981014,-16.84528417542755
เทียมร่วมมิตร,เทียมร่วมมิตร,11.533785872549586,29.123817957182524
เทเวศร์,กรุงเกษม,54.67439785905442,17.997695509961346
เทเวศร์,สามเสน,-55.37793463497751,-17.459790612659603
เพชรเกษม 69,เพชรเกษม,-10.83342468661364,-11.854429613618166
เสือป่า,เสือป่า,29.918867235606825,15.73497042872674
แปลงนาม,แปลงนาม,-20.849557974347185,8.061474781542238
โพธิ์แก้ว,ทางเข้าวัดบางเตย,-5.6630824372759605,-16.216077828981042
โพธิ์แก้ว,นวมินทร์,5.360389205490165,-1.0274129848576194
โพธิ์แก้ว,โพธิ์แก้ว,-27.27094291739236,26.47011375622769
ใต้ด่วนพระราม 4,ทางด่วน,-28.36954233505957,-13.794840217254006
ใต้ด่วนพระราม 4,พระรามที่ 4,-11.069966768522832,-26.17692829967997
ใต้ด่วนพระราม 4,เชื้อเพลิง,-20.29729537144665,12.220819360384084
ไฟฉาย,จรัญสนิทวงศ์,70.89216604609257,82.96711798645109
ไฟฉาย,พรานนก,40.33734467366389,48.26878996260103
