intersection_key,road_key,time_key,covid_period,median,mean,size
คลองเตย,พระรามที่ 4,07:00-09:00,ก่อนโควิด,3386.25,3386.25,2
คลองเตย,พระรามที่ 4,07:00-09:00,หลังโควิด,2829.5,2881.375,4
คลองเตย,พระรามที่ 4,07:00-09:00,โควิด,4121.5,4121.5,1
คลองเตย,พระรามที่ 4,09:00-16:00,ก่อนโควิด,3772.0,3772.0,2
คลองเตย,พระรามที่ 4,09:00-16:00,หลังโควิด,3682.5714285714284,3682.5714285714284,1
คลองเตย,พระรามที่ 4,09:00-16:00,โควิด,4160.142857142857,4160.142857142857,1
คลองเตย,สุนทรโกษา,07:00-09:00,ก่อนโควิด,982.0,982.0,2
คลองเตย,สุนทรโกษา,07:00-09:00,หลังโควิด,735.25,774.125,4
คลองเตย,สุนทรโกษา,07:00-09:00,โควิด,977.5,977.5,1
คลองเตย,สุนทรโกษา,09:00-16:00,ก่อนโควิด,578.7142857142858,578.7142857142858,2
คลองเตย,สุนทรโกษา,09:00-16:00,หลังโควิด,679.8571428571429,679.8571428571429,1
คลองเตย,สุนทรโกษา,09:00-16:00,โควิด,658.4285714285714,658.4285714285714,1
คอกวัว,ตะนาว,07:00-09:00,ก่อนโควิด,1049.5,1049.5,2
คอกวัว,ตะนาว,07:00-09:00,หลังโควิด,892.25,892.25,2
คอกวัว,ตะนาว,07:00-09:00,โควิด,744.0,744.0,1
คอกวัว,ตะนาว,09:00-16:00,ก่อนโควิด,1320.9285714285716,1320.9285714285716,2
คอกวัว,ตะนาว,09:00-16:00,หลังโควิด,1031.857142857143,1031.857142857143,1
คอกวัว,ตะนาว,09:00-16:00,โควิด,854.2857142857143,854.2857142857143,1
คอกวัว,ตะนาว,16:00-19:00,ก่อนโควิด,1393.8333333333335,1393.8333333333335,2
คอกวัว,ตะนาว,16:00-19:00,หลังโควิด,1120.3333333333333,1120.3333333333333,1
คอกวัว,ตะนาว,16:00-19:00,โควิด,1246.3333333333333,1246.3333333333333,1
คอกวัว,ราชดำเนินกลาง,07:00-09:00,ก่อนโควิด,3805.25,3805.25,2
คอกวัว,ราชดำเนินกลาง,07:00-09:00,หลังโควิด,4155.5,4155.5,2
คอกวัว,ราชดำเนินกลาง,07:00-09:00,โควิด,3778.5,3778.5,1
คอกวัว,ราชดำเนินกลาง,09:00-16:00,ก่อนโควิด,4376.357142857143,4376.357142857143,2
คอกวัว,ราชดำเนินกลาง,09:00-16:00,หลังโควิด,5082.714285714285,5082.714285714285,1
คอกวัว,ราชดำเนินกลาง,09:00-16:00,โควิด,4285.857142857143,4285.857142857143,1
คอกวัว,ราชดำเนินกลาง,16:00-19:00,ก่อนโควิด,3675.1666666666665,3675.1666666666665,2
คอกวัว,ราชดำเนินกลาง,16:00-19:00,หลังโควิด,5744.333333333333,5744.333333333333,1
คอกวัว,ราชดำเนินกลาง,16:00-19:00,โควิด,4346.0,4346.0,1
จอมทอง,จอมทอง,07:00-09:00,ก่อนโควิด,1719.0,1719.0,1
